time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-06T09:43:55.570Z,12.6113,-86.9846,156.67,4.9,mww,,124,0.105,0.9,us,us1000i3dq,2018-12-06T09:59:15.040Z,"Nicaragua",earthquake,7.9,6.8,0.08,15,reviewed,us,us
2018-12-06T06:18:35.720Z,-21.7369,168.7078,10,4.8,mb,,92,2.128,0.92,us,us1000i3bj,2018-12-06T06:38:39.040Z,"Loyalty Islands, New Caledonia",earthquake,10,1.9,0.086,42,reviewed,us,us
2018-12-06T06:07:30.250Z,-21.97,168.9855,10,5.3,mww,,96,2.36,1.24,us,us1000i3bg,2018-12-06T06:23:32.040Z,"Loyalty Islands, New Caledonia",earthquake,6.2,1.8,0.075,17,reviewed,us,us
2018-12-06T05:24:14.560Z,-30.7211,-71.4131,34.13,4.8,mb,,50,0.196,0.9,us,us1000i3ak,2018-12-06T10:03:31.671Z,"Coquimbo, Chile",earthquake,3.3,2.1,0.072,60,reviewed,us,us
2018-12-06T04:17:24.860Z,-14.88,-75.854,10.64,5,mb,,153,3.031,1.11,us,us1000i399,2018-12-06T04:32:44.040Z,"near the coast of central Peru",earthquake,8.4,4,0.037,236,reviewed,us,us
2018-12-06T04:02:28.450Z,-21.3207,168.784,10,5,mb,,94,2.301,0.41,us,us1000i38p,2018-12-06T04:25:40.040Z,"Loyalty Islands, New Caledonia",earthquake,11.9,1.6,0.076,55,reviewed,us,us
2018-12-06T03:49:27.360Z,-16.2516,178.1026,35.8,4.9,mb,,117,1.485,0.93,us,us1000i38i,2018-12-06T04:49:35.040Z,"Fiji",earthquake,13.5,10.5,0.061,84,reviewed,us,us
2018-12-06T03:17:13.990Z,2.465,128.2709,142.13,4.5,mb,,151,1.909,0.5,us,us1000i380,2018-12-06T03:29:15.040Z,"Halmahera, Indonesia",earthquake,11.4,8.6,0.131,17,reviewed,us,us
2018-12-06T01:17:14.790Z,-12.7845,45.4483,10,4.8,mb,,90,6.43,0.82,us,us1000i36v,2018-12-06T01:46:11.104Z,"18km E of Pamandzi, Mayotte",earthquake,12.5,1.9,0.168,11,reviewed,us,us
2018-12-06T01:02:46.140Z,-8.5376,116.0367,10,5.5,mww,,71,1.865,0.87,us,us1000i36p,2018-12-06T09:40:53.959Z,"10km WNW of Mataram, Indonesia",earthquake,6.4,1.9,0.073,18,reviewed,us,us
2018-12-05T23:56:35.540Z,-21.818,168.5757,10,4.9,mb,,111,1.995,0.74,us,us1000i35k,2018-12-06T00:20:23.040Z,"77km ESE of Tadine, New Caledonia",earthquake,11.7,1.9,0.097,33,reviewed,us,us
2018-12-05T23:45:35.770Z,-22.3231,169.3705,10,4.8,mb,,105,2.7,0.5,us,us1000i35c,2018-12-06T00:07:17.040Z,"175km ESE of Tadine, New Caledonia",earthquake,9.4,1.1,0.084,44,reviewed,us,us
2018-12-05T23:20:39.600Z,-21.8239,169.0824,10,5.1,mb,,95,2.462,0.82,us,us1000i350,2018-12-05T23:47:59.040Z,"127km ESE of Tadine, New Caledonia",earthquake,9.9,1.8,0.051,125,reviewed,us,us
2018-12-05T22:38:06.710Z,-20.3617,-177.743,493.73,4.6,mb,,94,4.752,0.76,us,us1000i344,2018-12-05T23:03:55.040Z,"104km ENE of Ndoi Island, Fiji",earthquake,12.5,6.9,0.065,71,reviewed,us,us
2018-12-05T21:32:19.900Z,-21.769,169.7314,10,5.5,mww,,76,3.067,0.93,us,us1000i32q,2018-12-05T23:34:28.934Z,"192km E of Tadine, New Caledonia",earthquake,4.6,1.9,0.075,17,reviewed,us,us
