,date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune
2000-01-01,2000-01-01,3.6448234194734888e+22,1.7958582225645293e+20,2941676120282441.0,6.73702464144866e+16,3350120026748030.0,1.589010079341133e+18,1.3530383820057614e+17,3598004160009864.0,1886824394357016.0
2000-01-02,2000-01-02,3.6448781859887948e+22,1.7636238135386492e+20,2922545562593589.0,6.660659978192047e+16,3330533623044728.0,1.578369913145914e+18,1.3485466159483066e+17,3594575986872670.5,1886008972142310.0
2000-01-03,2000-01-03,3.644900872537956e+22,1.7419773113189125e+20,2905831108419599.5,6.585910127442942e+16,3311109883196064.0,1.5677902503664294e+18,1.344030825032957e+17,3591235312905038.5,1885227099303674.5
2000-01-04,2000-01-04,3.644892635725602e+22,1.7298595827971103e+20,2891465439916459.0,6.512731994898143e+16,3291848299612187.0,1.557274255304391e+18,1.3394931323657613e+17,3587982777968157.5,1884478968825322.0
2000-01-05,2000-01-05,3.644854418069525e+22,1.7262221494059975e+20,2879394394445239.0,6.441083507059232e+16,3272748343752702.5,1.5468249655239255e+18,1.3349356511139187e+17,3584818994696854.0,1883764762181951.2
2000-01-06,2000-01-06,3.6447869335281573e+22,1.7301701368981602e+20,2869576469418036.0,6.370923593611654e+16,3253809451767901.0,1.5364452901961518e+18,1.3303604816083338e+17,3581744546477351.5,1883084648649524.0
2000-01-07,2000-01-07,3.6446906471955044e+22,1.7410649240389108e+20,2861982477277319.5,6.302212165663118e+16,3235031007623351.0,1.5261380083023567e+18,1.3257697083489224e+17,3578759985185951.0,1882438784546234.0
2000-01-08,2000-01-08,3.6445657537895815e+22,1.758584821521981e+20,2856595348168416.0,6.234910098229265e+16,3216412324237257.5,1.5159057663158336e+18,1.3211653966923525e+17,3575865828818772.5,1881827312468028.0
2000-01-09,2000-01-09,3.6444121591504016e+22,1.7827369707605033e+20,2853410079937875.0,6.168979220485094e+16,3197952624381625.0,1.505751075404288e+18,1.3165495891842506e+17,3573062559242475.0,1881250360604510.0
2000-01-10,2000-01-10,3.644229466131482e+22,1.8138126950670205e+20,2852433836210041.0,6.104382312656539e+16,3179651022583116.0,1.4956763083929416e+18,1.3119243016212328e+17,3570350620214855.5,1880708042183050.5
2000-01-11,2000-01-11,3.644016964463758e+22,1.8522766407333616e+20,2853686195207116.0,6.04108310796704e+16,3161506508090349.0,1.4856836966132946e+18,1.3072915189048818e+17,3567730415707653.5,1880200455050066.8
2000-01-12,2000-01-12,3.6437736250104437e+22,1.8985784489188662e+20,2857199555321141.5,5.979046300657148e+16,3143517928620034.5,1.475775326586187e+18,1.3026531906656096e+17,3565202308558230.5,1879727681403091.0
2000-01-13,2000-01-13,3.643498100632081e+22,1.9528730047381822e+20,2863019707305529.5,5.918237562958929e+16,3125683975146802.5,1.4659531364734093e+18,1.298011226608572e+17,3562766619558264.0,1879289787718487.2
2000-01-14,2000-01-14,3.643188736702469e+22,2.0146385637674648e+20,2871206586487580.5,5.858623574062695e+16,3108003168421962.0,1.456218912296543e+18,1.2933674915547544e+17,3560423627143825.5,1878886824938084.0
2000-01-15,2000-01-15,3.642843595514365e+22,2.0822052253233244e+20,2881835222479201.0,5.800172065631096e+16,3090473848028875.0,1.4465742838867308e+18,1.2887238001243454e+17,3558173567899703.0,1878518828997998.5
2000-01-16,2000-01-16,3.642460503517367e+22,2.1522704255812046e+20,2894996910235413.5,5.742851892879368e+16,3073094166169580.5,1.4370207205504858e+18,1.2840819109767582e+17,3556016638306895.5,1878185821862744.0
